H,1.2
HE,1.43
LI,2.12
BE,1.98
B,1.91
C,1.77
N,1.66
O,1.5
F,1.46
NE,1.58
NA,2.5
MG,2.51
AL,2.25
SI,2.19
P,1.9
S,1.89
CL,1.82
AR,1.83
K,2.73
CA,2.62
SC,2.58
TI,2.46
V,2.42
CR,2.45
MN,2.45
FE,2.44
CO,2.4
NI,2.4
CU,2.38
ZN,2.39
GA,2.32
GE,2.29
AS,1.88
SE,1.82
BR,1.86
KR,2.25
RB,3.21
SR,2.84
Y,2.75
ZR,2.52
NB,2.56
MO,2.45
TC,2.44
RU,2.46
RH,2.44
PD,2.15
AG,2.53
CD,2.49
IN,2.43
SN,2.42
SB,2.47
TE,1.99
I,2.04
XE,2.06
CS,3.48
BA,3.03
LA,2.98
CE,2.88
PR,2.92
ND,2.95
SM,2.9
EU,2.87
GD,2.83
TB,2.79
DY,2.87
HO,2.81
ER,2.83
TM,2.79
YB,2.8
LU,2.74
HF,2.63
TA,2.53
W,2.57
RE,2.49
OS,2.48
IR,2.41
PT,2.29
AU,2.32
HG,2.45
TL,2.47
PB,2.6
BI,2.54
AC,2.8
TH,2.93
PA,2.88
U,2.71
NP,2.82
PU,2.81
AM,2.83
CM,3.05
BK,3.4
CF,3.05
ES,2.7
